id,album,release_date,n_tracks_original,id_track,track,lyrics,n_tracks,notes
1,Ring Ring (International Edition) by ABBA,1973-03-26,15,1,Ring Ring,"I was sitting by the phone
I was waiting all alone
Baby by myself I sit and wait and wonder about you
It's a dark and dreary night
Seems like nothing's going right
Won't you tell me honey how can I go on here without you?

Yes I'm down and feeling blue
And I don't know what to do, oh-oh

Ring, ring, why don't you give me a call?
Ring, ring, the happiest sound of them all
Ring, ring, I stare at the phone on the wall
And I sit all alone impatiently
Won't you please understand the need in me
So, ring, ring, why don't you give me a call?
So, ring, ring, why don't you give me a call?

You were here and now you're gone
Hey, did I do something wrong?
I just can't believe that I could be so badly mistaken
Was it me or was it you?
Tell me, are we really through?
Won't you hear me cry and you will know that my heart is breaking
Please forgive and then forget
Or maybe darling better yet, oh-oh

Ring, ring, why don't you give me a call?
Ring, ring, the happiest sound of them all
Ring, ring, I stare at the phone on the wall
And I sit all alone impatiently
Won't you please understand the need in me
So, ring, ring, why don't you give me a call?
So, ring, ring, why don't you give me a call?

Oh-oh, ring, ring, why don't you give me a call?
So, ring, ring, why don't you give me a call?
Oh-oh, ring, ring, why don't you give me a call?
So, ring, ring...1EmbedShare URLCopyEmbedCopy",14,Third at the 1973 Melodifestivalen
1,Ring Ring (International Edition) by ABBA,1973-03-26,15,2,"Another Town, Another Train","Day is dawning and I must go
You're asleep, but still, I'm sure you'll know
Why it had to end this way
You and I had a groovy time
But I told you somewhere down the line
You would have to find me gone
I just have to move along

Just another town, another train
Waiting in the morning rain
Lord, give my restless soul a little patience
Just another town, another train
Nothing lost and nothing gained
Guess I will spend my life in railway stations
Guess I will spend my life in railway stations

When you wake I know you'll cry
And the words I wrote to say goodbye
They won't comfort you at all
But in time you will understand
That the dreams we dreamed were made of sand
For a no-good bum like me
To live is to be free
Just another town, another train
Waiting in the morning rain
Lord, give my restless soul a little patience
Just another town, another train
Nothing lost and nothing gained
Guess I will spend my life in railway stations
Guess I will spend my life in railway stations

Just another town, another train
Waiting in the morning rain
Lord, give my restless soul a little patience
Just another town, another train
Nothing lost and nothing gained
Guess I will spend my life in railway stationsEmbedShare URLCopyEmbedCopy",14,
1,Ring Ring (International Edition) by ABBA,1973-03-26,15,3,Disillusion,"Changing, moving in a circle
I can see your face in all of my dreams
Smiling, laughing from the shadows
When I hear your voice I know what it means
I know it doesn't matter just how hard I try
You're all the reason for my life

Disillusion, disillusion's all you left for me
How can I forget you when my world is breaking down?
You're all I had, you're all I want
Disillusion, disillusions now, that's all I have

Wishing, hoping, chasing shadows
Did I see your face somewhere in the crowd?
Thinking, wondering, what you're doing
I can't stop myself from crying out loud
They say my wound will heal and only leave a scar
But then, they'd never shared our love

Disillusion, disillusion's all you left for me
How can I forget you when my world is breaking down?
You're all I had, you're all I want
Disillusion, disillusions now, that's all I have
Disillusion, disillusions now, that's all I haveEmbedShare URLCopyEmbedCopy",14,
1,Ring Ring (International Edition) by ABBA,1973-03-26,15,4,People Need Love,"People need hope, people need loving
People need trust from a fellow man
People need love to make a good living
People need faith in a helping hand

Man has always wanted a woman by his side to keep him company
Women always knew that it takes a man to get matrimonial harmony
Everybody knows that a man who's feeling down wants some female sympathy
Gotta have love to carry on living
Gotta have love till eternity

People need hope, people need loving
People need trust from a fellow man
People need love to make a good living
People need faith in a helping hand

La la la la, la la la la-la
La la la la la la la-la la la
La la la la, la la la la-la
La la la la la la la-la la la

Flowers in a desert need a drop of rain like a woman needs her man
If a man's in love and his woman wants the moon then he'll take it down if he can
Somebody who loves you and somebody who cares, isn't that what you call a friend?
Gotta have love to carry on living
Isn't it easy to understand?
People need hope, people need loving
People need trust from a fellow man
People need love to make a good living
People need faith in a helping hand

La la la la, la la la la-la
(People need loving, yeah)
La la la la la la la-la la la
(People need love)
La la la la, la la la la-la
(People need loving, yeah)
La la la la la la la-la la la

People need hope, people need loving
(People need loving, yeah)
People need trust from a fellow man
(People need love)
People need love to make a good living
(People need loving, yeah)
People need faith in a helping hand

La la la la, la la la la-la
(People need loving, yeah)
La la la la la la la-la la la
(People need loving, yeah)
La la la la, la la la la-la
(People need loving, yeah)
La la la la la la la-la la la
La la la la, la la la la-la
La la la la la la la-la la la
La la la la, la la la la-la
La la la la la la la-la la la
La la la la, la la la la-la
La la la la la la la-la la la2EmbedShare URLCopyEmbedCopy",14,First single ever
1,Ring Ring (International Edition) by ABBA,1973-03-26,15,5,I Saw It in the Mirror,"I saw it in the mirror, I saw it in my face
That I'm no longer needed, anyone can take my place
I saw it in the mirror when I look into my eyes
'Cause something sure is wrong when this boy cries
This boy cries

I saw it in the mirror, my head is hanging low
And I ain't too familiar with the feelings that I show
I know you say you love me, but I'm looking through your lies
It doesn't really bother you if this boy cries
This boy cries

I never thought I could cry for you
But honey, I will miss you till the day I die
Till the day I die

I saw it in the mirror, I saw it in my face
That I'm no longer needed, anyone can take my place
I saw it in the mirror when I look into my eyes
'Cause something sure is wrong when this boy cries
This boy cries, this boy criesEmbedShare URLCopyEmbedCopy",14,
1,Ring Ring (International Edition) by ABBA,1973-03-26,15,6,"Nina, Pretty Ballerina","Every day in the morning on her way to the office
You can see her as she catches a train
Just a face among a million faces
Just another woman with no name
Not the girl you'd remember but she's still something special
If you knew her I am sure you'd agree
Because I know she's got a little secret
Friday evening she turns out to be

Nina, pretty ballerina
Now she is the queen of the dancing floor
This is the moment she's waited for
Just like Cinderella (Just like Cinderella)
Nina, pretty ballerina
Who'd ever think she could be this way?
This is the part that she likes to play
But she knows the fun would go away
If she would play it every day

So she's back every morning to her work at the office
And another week to live in a dream
And another row of early mornings
In an almost never-ending stream
Doesn't talk very often, kind of shy and uncertain
Everybody seems to think she's a bore
But they wouldn't know her little secret
What her Friday night would have in store
Nina, pretty ballerina
Now she is the queen of the dancing floor
This is the moment she's waited for
Just like Cinderella (Just like Cinderella)
Nina, pretty ballerina
Who'd ever think she could be this way?
This is the part that she likes to play
She would like to play it every day
Nina, pretty ballerina
Now she is the queen of the dancing floor
This is the moment she's waited for
Just like Cinderella (Just like Cinderella)
Nina, pretty ballerina
Who'd ever think she could be this way?
This is the part that she likes to play...EmbedShare URLCopyEmbedCopy",14,
1,Ring Ring (International Edition) by ABBA,1973-03-26,15,7,Love Isn’t Easy (But It Sure Is Hard Enough),"Do you remember the first time and all of your sweet, sweet talk?
Ain't heard it a lot since then love
Now look at that guy, he's making me cry
He leaves every morning and he hardly says goodbye

But if I would have to choose I wouldn't let you go
Just give it some more time and you will see our love will grow
Darling, I know

We gotta have patience
Love isn't just a sensation
Some of the time it gets rough
Love isn't easy but it sure is hard enough
(Sweet, sweet, our love is bittersweet)
Giving
Love is a reason for living
But a few things can be tough
Love isn't easy but it sure is hard enough
(Sweet, sweet, our love is bittersweet)

From the first moment I saw you I've treated you like a queen
I've given you lots of presents
Now listen to that, just look at that cat
You'd think he was an angel, but he's talking through his hat
But if I would have to choose I wouldn't let you go
Just give it some more time and you will see our love will grow
Darling, I know

We gotta have patience
Love isn't just a sensation
Some of the time it gets rough
Love isn't easy but it sure is hard enough
(Sweet, sweet, our love is bittersweet)
Giving
Love is a reason for living
(Sweet, sweet, our love is bittersweet)
(Sweet, sweet, our love is bittersweet)
But a few things can be tough
Love isn't easy but it sure is hard enough
(Sweet, sweet, our love is bittersweet)
Patience
(Sweet, sweet, our love is bittersweet)
Love isn't just a sensation
(Sweet, sweet, our love is bittersweet)
Some of the time it gets rough
Love isn't easy but it sure is hard enough
(Sweet, sweet, our love is bittersweet)
Giving
Love is a reason for living
(Sweet, sweet, our love is bittersweet)
(Sweet, sweet, our love is bittersweet)
But a few things can be tough
Love isn't easy but it sure is hard enough
(Sweet, sweet, our love is bittersweet)EmbedShare URLCopyEmbedCopy",14,
1,Ring Ring (International Edition) by ABBA,1973-03-26,15,8,Me and Bobby and Bobby’s Brother,"Well, there was me and Bobby and Bobby's brother
Please take me back to that place
Where I've got all my memories
Those were my happiest days

I remember all the games we used to play
I really do
And I went to see them almost every day
I wanted to
Though we quarreled at times
And had a few fights
We were the best of friends
We found a place in the sun
A heaven of fun

Well there was me and Bobby and Bobby's brother
Wildest kids you could see
We would play together
Climbing the apple tree
Yes, there was me and Bobby and Bobby's brother
Please take me back to that place
Where I've got all me my memories
Those were my happiest days
They would take me out for football games and such
They liked to play
And I guess I didn't like it very much
But anyway
I was happy and proud
To be with the boys
Being a little girl
I found a place in the sun
A heaven of fun

Well there was me and Bobby and Bobby's brother
Wildest kids you could see
We would play together
Climbing the apple tree
Yes, there was me and Bobby and Bobby's brother
Please take me back to that place
Where I've got all me my memories
Those were my happiest days

Well there was me and Bobby and Bobby's brother
Please take me back to that place
Where I've got all my memories
Those were my happiest days
Got all my memories
Those were my happiest days
Where I've got all my memories
Those were my happiest days
Got all my memories
Those were my happiest days
Where I've got all my memories
Those were my happiest days
Got all my memories
Those were my happiest days
Mmm, where I've got all my memories
Those were my happiest...EmbedShare URLCopyEmbedCopy",14,
1,Ring Ring (International Edition) by ABBA,1973-03-26,15,9,He Is Your Brother,"I was a fighter always looking for trouble
And my life was so empty, there was nothing left to live for
But then it happened one night as I got into a fight
I could hear someone saying as though he was praying
Ah...

""Treat him well, he is your brother
You might need his help some day
We depend on one another
Love him, that's the only way
On the road that we're going
(On the road)
We all need words of comfort and compassion
(We all need)
Treat him well, he is your brother
Love him, that's the only way""

I was a woman never thinking of others
And my life was so lonely, didn't care for anybody
But then I happened to meet a begging man in the street
As I turned down his praying I heard someone saying
Ah...
""Treat him well, he is your brother (Brother)
You might need his help one day (He's your brother)
We depend on one another (Brother)
Love him, that's the only way
On the road that we're going
(On the road that we're going)
We all need words of comfort and compassion
(We all need words of comfort and compassion)
Treat him well, he is your brother (Brother)
Love him, that's the only way""

Treat him well, he is your brother (Brother)
You might need his help one day (He's your brother)
We depend on one another (Brother)
Love him, that's the only way
Treat him well, he is your brother (Brother)
You might need his help one day (He's your brother)
We depend on one another... (Brother)EmbedShare URLCopyEmbedCopy",14,
1,Ring Ring (International Edition) by ABBA,1973-03-26,15,10,She’s My Kind of Girl,"Look at her face, it's a wonderful face
And it means something special to me
Look at the way that she smiles when she sees me
How lucky can one fellow be?

She's just my kind of girl, she makes me feel fine
Who could ever believe that she would be mine?
She's just my kind of girl, without her I'm blue
And if she ever leaves me what could I do, what could I do?

And when we go for a walk in the park
Then she holds me and squeezes my hand
We'll go on walking for hours and talking
About all the things that we plan

She's just my kind of girl, she makes me feel fine
Who could ever believe that she would be mine?
She's just my kind of girl, without her I'm blue
And if she ever leaves me what could I do, what could I do?

She's just my kind of girl, she makes me feel fine
Who could ever believe that she would be mine?
She's just my kind of girl, without her I'm blue
And if she ever leaves me what could I do?

She's just my kind of girl, she makes me feel fine
Who could ever believe that she would be mine?1EmbedShare URLCopyEmbedCopy",14,
