JobTitle__lightlycleaned,RoleMultichoice_composite,TimeWorked,TimeDataPrep,TimeDataAnalysis,TimeIdeating,TimeProducingViz,TimeOtherVizTasks,OtherVizTasks__,altID
Data Visualization Developer,Journalist,30–39 hours,11–20 hours,6–10 hours,6–10 hours,11–20 hours,11–20 hours,"Writing, reporting and editing other people's work",1
Data storyteller,"Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,6–10 hours,11–20 hours,21–30 hours,6–10 hours,"Writing, blogging, social about the topic",2
Research & Data Analyst,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Writing takeaways associated with the visualizations and presenting the information to indivudals &groups.,3
"Director, Technical Consulting","Leadership (Manager, Director, VP, etc.)",40–49 hours,5 hours or less,5 hours or less,5 hours or less,5 hours or less,5 hours or less,Writing software to support making visualizations,4
Data Visualization Developer,Developer,50–59 hours,21–30 hours,6–10 hours,5 hours or less,5 hours or less,11–20 hours,Writing scripts to ingest new data,5
geospatial analyst,Analyst,40–49 hours,5 hours or less,6–10 hours,6–10 hours,11–20 hours,11–20 hours,Writing python code and testing,6
Research data librarian,Academic/Teacher,40–49 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,5 hours or less,Writing introductory/explanatory text for reports containing data visualizations.,7
Scientist,Scientist,50–59 hours,None,None,6–10 hours,6–10 hours,21–30 hours,"Writing grants, proposal, papers, reviewing papers etc",8
scientific assistant,Scientist,50–59 hours,None,5 hours or less,6–10 hours,6–10 hours,5 hours or less,"writing documentations, deploying software, project organization",9
staff software engineer,Engineer,40–49 hours,None,None,None,None,5 hours or less,"writing design documents, discussing visualization with larger community",10
SEO Program Manager,Analyst,30–39 hours,5 hours or less,6–10 hours,6–10 hours,5 hours or less,5 hours or less,Writing communications to the department using the visualizations.,11
Lead Visualization Engineer,Engineer,50–59 hours,None,6–10 hours,6–10 hours,6–10 hours,21–30 hours,"Writing code to make visualizations interactive, writing a paper.",12
Visual Data Science Developer,Developer,30–39 hours,5 hours or less,6–10 hours,None,6–10 hours,6–10 hours,writing code to create visualization tools,13
Software Engineer II,Engineer,40–49 hours,,5 hours or less,5 hours or less,6–10 hours,6–10 hours,Writing code for dataviz/UI components,14
,Developer,40–49 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,21–30 hours,Writing and project management,15
freelancer,Developer,Fewer than 20 hours,None,None,5 hours or less,None,5 hours or less,writing and editing about data viz,16
Information Designer,Designer,20–29 hours,5 hours or less,5 hours or less,None,None,6–10 hours,Writing an article on my findings,17
Senior Associate Director/Data Editor,Analyst,40–49 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,6–10 hours,Writing alt text and other web accessibility tasks related to data visualization,18
Product expert,None of these describes my role,30–39 hours,5 hours or less,5 hours or less,6–10 hours,11–20 hours,5 hours or less,Writing about how to make data visualizations,19
Founding Partner,"Leadership (Manager, Director, VP, etc.)",40–49 hours,None,None,21–30 hours,None,21–30 hours,Writing about dataviz,20
Head of Data Visualisation,"Leadership (Manager, Director, VP, etc.)",40–49 hours,6–10 hours,5 hours or less,6–10 hours,5 hours or less,5 hours or less,Writing about data visualisation,21
Staff Scientist,None of these describes my role,70 or more hours,None,5 hours or less,11–20 hours,6–10 hours,21–30 hours,writing,22
,Journalist,40–49 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,6–10 hours,Writing,23
Predoctoral research associate,Student,40–49 hours,5 hours or less,5 hours or less,6–10 hours,5 hours or less,11–20 hours,Writing,24
Information designer and data journalist,Designer,30–39 hours,5 hours or less,5 hours or less,None,11–20 hours,6–10 hours,Writing,25
frontend web developer,Developer,30–39 hours,None,6–10 hours,None,6–10 hours,11–20 hours,write code,26
Independent Data Visualization Specialist,Designer,30–39 hours,5 hours or less,5 hours or less,5 hours or less,11–20 hours,6–10 hours,Workshop-Preparation,27
Research software engineer,Academic/Teacher,30–39 hours,None,None,None,5 hours or less,6–10 hours,Working on visualization software,28
Data Engineering Intern,Student,40–49 hours,5 hours or less,None,5 hours or less,21–30 hours,5 hours or less,Working on visualization deployment,29
Data Visualization Coordinator,Analyst,40–49 hours,5 hours or less,None,6–10 hours,11–20 hours,6–10 hours,Working on our data visualization style guide,30
Chief Design and Product Officer,Designer,40–49 hours,5 hours or less,5 hours or less,5 hours or less,6–10 hours,5 hours or less,Working on designing systems to produce viz at scale,31
Visual Data Journalist,Journalist,40–49 hours,6–10 hours,5 hours or less,11–20 hours,11–20 hours,5 hours or less,"Working on a internal, data viz products (e.g. style guide, charting tool)",32
,Analyst,40–49 hours,5 hours or less,6–10 hours,5 hours or less,6–10 hours,,within producing visualizations: collaborating with team members to explore and iterate,33
Data visualization consultant,"Leadership (Manager, Director, VP, etc.)",30–39 hours,5 hours or less,5 hours or less,6–10 hours,6–10 hours,6–10 hours,Wireframes,34
