role,persons_role,hours,persons,task,id_hours,id_task,id_role,persons_perc
Analyst,557,5 hours or less,223,TimeDataPrep,1,1,0,0.400359066427289
Analyst,557,6–10 hours,161,TimeDataPrep,2,1,0,0.289048473967684
Analyst,557,11–20 hours,107,TimeDataPrep,3,1,0,0.19210053859964094
Analyst,557,None,34,TimeDataPrep,0,1,0,0.06104129263913824
Analyst,557,21–30 hours,31,TimeDataPrep,4,1,0,0.05565529622980251
Analyst,557,More than 30 hours,1,TimeDataPrep,5,1,0,0.0017953321364452424
Analyst,557,5 hours or less,218,TimeDataAnalysis,1,2,0,0.39138240574506283
Analyst,557,6–10 hours,207,TimeDataAnalysis,2,2,0,0.37163375224416517
Analyst,557,11–20 hours,78,TimeDataAnalysis,3,2,0,0.1400359066427289
Analyst,557,None,28,TimeDataAnalysis,0,2,0,0.05026929982046679
Analyst,557,21–30 hours,19,TimeDataAnalysis,4,2,0,0.03411131059245961
Analyst,557,More than 30 hours,7,TimeDataAnalysis,5,2,0,0.012567324955116697
Analyst,557,5 hours or less,308,TimeIdeating,1,3,0,0.5529622980251346
Analyst,557,None,153,TimeIdeating,0,3,0,0.2746858168761221
Analyst,557,6–10 hours,59,TimeIdeating,2,3,0,0.1059245960502693
Analyst,557,11–20 hours,33,TimeIdeating,3,3,0,0.059245960502693
Analyst,557,21–30 hours,3,TimeIdeating,4,3,0,0.005385996409335727
Analyst,557,More than 30 hours,1,TimeIdeating,5,3,0,0.0017953321364452424
Analyst,557,5 hours or less,233,TimeProducingViz,1,4,0,0.41831238779174146
Analyst,557,6–10 hours,174,TimeProducingViz,2,4,0,0.3123877917414722
Analyst,557,11–20 hours,87,TimeProducingViz,3,4,0,0.1561938958707361
Analyst,557,None,39,TimeProducingViz,0,4,0,0.07001795332136446
Analyst,557,21–30 hours,21,TimeProducingViz,4,4,0,0.03770197486535009
Analyst,557,More than 30 hours,3,TimeProducingViz,5,4,0,0.005385996409335727
Analyst,557,None,337,TimeOtherVizTasks,0,0,0,0.6050269299820467
Analyst,557,5 hours or less,141,TimeOtherVizTasks,1,0,0,0.25314183123877915
Analyst,557,6–10 hours,48,TimeOtherVizTasks,2,0,0,0.08617594254937164
Analyst,557,11–20 hours,19,TimeOtherVizTasks,3,0,0,0.03411131059245961
Analyst,557,21–30 hours,6,TimeOtherVizTasks,4,0,0,0.010771992818671455
Analyst,557,More than 30 hours,6,TimeOtherVizTasks,5,0,0,0.010771992818671455
None of these describes my role,370,5 hours or less,163,TimeDataPrep,1,1,11,0.44054054054054054
None of these describes my role,370,None,90,TimeDataPrep,0,1,11,0.24324324324324326
None of these describes my role,370,6–10 hours,67,TimeDataPrep,2,1,11,0.1810810810810811
None of these describes my role,370,11–20 hours,38,TimeDataPrep,3,1,11,0.10270270270270271
None of these describes my role,370,21–30 hours,9,TimeDataPrep,4,1,11,0.024324324324324326
None of these describes my role,370,More than 30 hours,3,TimeDataPrep,5,1,11,0.008108108108108109
None of these describes my role,370,5 hours or less,168,TimeDataAnalysis,1,2,11,0.4540540540540541
None of these describes my role,370,6–10 hours,84,TimeDataAnalysis,2,2,11,0.22702702702702704
None of these describes my role,370,None,74,TimeDataAnalysis,0,2,11,0.2
None of these describes my role,370,11–20 hours,32,TimeDataAnalysis,3,2,11,0.08648648648648649
None of these describes my role,370,21–30 hours,10,TimeDataAnalysis,4,2,11,0.02702702702702703
None of these describes my role,370,More than 30 hours,2,TimeDataAnalysis,5,2,11,0.005405405405405406
None of these describes my role,370,5 hours or less,168,TimeIdeating,1,3,11,0.4540540540540541
None of these describes my role,370,None,112,TimeIdeating,0,3,11,0.3027027027027027
None of these describes my role,370,6–10 hours,56,TimeIdeating,2,3,11,0.15135135135135136
None of these describes my role,370,11–20 hours,27,TimeIdeating,3,3,11,0.07297297297297298
None of these describes my role,370,21–30 hours,6,TimeIdeating,4,3,11,0.016216216216216217
None of these describes my role,370,More than 30 hours,1,TimeIdeating,5,3,11,0.002702702702702703
None of these describes my role,370,5 hours or less,164,TimeProducingViz,1,4,11,0.44324324324324327
None of these describes my role,370,6–10 hours,72,TimeProducingViz,2,4,11,0.1945945945945946
None of these describes my role,370,None,72,TimeProducingViz,0,4,11,0.1945945945945946
None of these describes my role,370,11–20 hours,42,TimeProducingViz,3,4,11,0.11351351351351352
None of these describes my role,370,21–30 hours,17,TimeProducingViz,4,4,11,0.04594594594594595
None of these describes my role,370,More than 30 hours,3,TimeProducingViz,5,4,11,0.008108108108108109
None of these describes my role,370,None,195,TimeOtherVizTasks,0,0,11,0.527027027027027
None of these describes my role,370,5 hours or less,109,TimeOtherVizTasks,1,0,11,0.2945945945945946
